feature,mean_abs_shap
organization_type_UNKNOWN,0.0
"case_origin_COMPLAINT, BREACH_NOTIFICATION, EX_OFFICIO_DPA_INITIATIVE, REFERRAL_FROM_OTHER_AUTHORITY, MEDIA_PUBLIC_ATTENTION, JOINT_INVESTIGATION, FOLLOW_UP_PRIOR_CASE, OTHER, NOT_MENTIONED, UNCLEAR COMPLAINT",0.0
"organization_size_tier_SME, LARGE_ENTERPRISE, MULTINATIONAL, NON_PROFIT, PUBLIC_SECTOR_BODY, NOT_APPLICABLE, NOT_MENTIONED, UNCLEAR NOT_MENTIONED",0.0
"organization_size_tier_SME,LARGE_ENTERPRISE,NOT_MENTIONED,UNCLEAR",0.0
"organization_size_tier_SME,NOT_MENTIONED,NOT_MENTIONED,NOT_MENTIONED,NOT_MENTIONED",0.0
"organization_size_tier_SME,NOT_MENTIONED,UNCLEAR",0.0
dpa_name_canonical_Informacijski pooblaščenec (Information Commissioner),0.0
dpa_name_canonical_Information Commissioner (IP),0.0
dpa_name_canonical_Catalan Data Protection Authority (APDCAT),0.0
dpa_name_canonical_Council for Transparency and Protection of Data of Andalusia,0.0
dpa_name_canonical_Catalan Data Protection Agency (APDCAT),0.0
dpa_name_canonical_Basque Agency for the Protection of Data,0.0
dpa_name_canonical_Basque Agency for Data Protection,0.0
dpa_name_canonical_Autoritatea Națională de Supraveghere a Prelucrării Datelor cu Caracter Personal,0.0
dpa_name_canonical_Autoritatea Națională de Supraveghere a Prelucrării Datelor cu Caracter Personal (ANSPDCP),0.0
dpa_name_canonical_Office for the Protection of Personal Data of the Slovak Republic,0.0
dpa_name_canonical_National Supervisory Authority for Personal Data Processing,0.0
dpa_name_canonical_National Supervisory Authority,0.0
dpa_name_canonical_National DPA,0.0
dpa_name_canonical_National Authority for the Supervision of Personal Data Processing,0.0
dpa_name_canonical_National Commission for Data Protection (CNPD),0.0
dpa_name_canonical_National Authority,0.0
dpa_name_canonical_NOT_DISCUSSED,0.0
dpa_name_canonical_Information Commissioner of Slovenia,0.0
dpa_name_canonical_Integrity Protection Authority,0.0
dpa_name_canonical_Information Commissioner (Slovenia),0.0
dpa_name_canonical_Comissão Nacional de Proteção de Dados (CNPD),0.0
dpa_name_canonical_Informacijski pooblaščenec,0.0
dpa_name_canonical_Informacijski pooblaščenec (IP),0.0
dpa_name_canonical_Romanian Supervisory Authority,0.0
dpa_name_canonical_STRING The National Supervisory Authority for Personal Data Processing,0.0
dpa_name_canonical_Spanish Agency for Data Protection (AEPD),0.0
dpa_name_canonical_Spanish Agency of Data Protection,0.0
dpa_name_canonical_STRING National Supervisory Authority,0.0
dpa_name_canonical_President of the Office for the Protection of Personal Data,0.0
dpa_name_canonical_President of the Personal Data Protection Office (UODO),0.0
dpa_name_canonical_The Data Inspectorate,0.0
dpa_name_canonical_The Information Commissioner's Office,0.0
dpa_name_canonical_The Information Commissioner,0.0
dpa_name_canonical_Transparency and Data Protection Council of Andalusia,0.0
dpa_name_canonical_The Swedish Privacy Protection Agency (IMY),0.0
dpa_name_canonical_The National Supervisory Authority for the Processing of Personal Data,0.0
dpa_name_canonical_The National Supervisory Authority for Personal Data Processing,0.0
dpa_name_canonical_The National Supervisory Authority,0.0
dpa_name_canonical_nan,0.0
dpa_name_canonical_UNCLEAR,0.0
decision_year_bucket_nan,0.0
